id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户
4467107636950632,Is9M7taaY,今天核酸检测结果阳性，尘埃落定，终于确诊了 武汉·武汉市中心医院 ,,,武汉·武汉市中心医院,2020-02-01,iPhone客户端,1811463,455051,142255,,,True
4466768535861595,Is0XboARR,大家好，我是武汉市中心医院眼科医生李文亮。12月30日，我看到一份病人的检测报告，检出SARS冠状病毒高置信度阳性指标，出于提醒同学注意防护的角度，因为我同学也都是临床医生，所以在群里发布了消息说“确诊了7例SARS”。消息发出后，1月3日，公安局找到我并签了训诫书。之后我一直正常工作，在接诊了新冠病毒肺炎患者后，1月10号我开始出现咳嗽症状，11号发热，12号住院。     那时候我还在想通报怎么还在说没有人传人，没有医护感染，后来住进了ICU，之前做了一次核酸检测，但一直没出结果。经过治疗最近又进行一次检测，我的核酸显示为阴性了，但目前仍然呼吸困难，无法活动。我的父母也在住院中。     在病房里，我也看到很多网友对我的支持和鼓励，我的心情也会轻松一些，谢谢大家的支持。在此我想特别澄清，我没有被吊销执照，请大家放心，我一定积极配合治疗，争取早日出院！ 武汉·武汉市中心医院,"https://wx3.sinaimg.cn/large/43e5425dgy1gbfmbzlu98j20ds0hngnh.jpg,https://wx4.sinaimg.cn/large/43e5425dgy1gbfmbzx78hj20hh0njad3.jpg",,武汉·武汉市中心医院,2020-01-31,贫困家庭iPhone 11 Pro Max,1254281,105668,169354,,,True
4459987503456438,Ipay2evb0,转发微博,,,,2020-01-12,贫困家庭iPhone 11 Pro Max,34886,1676,165,,,False,1783497251,李杰灵,4459530882459859,IoYFyajV9,卖车啦，卖车啦！【趣评测商城】史上最贵二手单品！ 转发微博，送一台iPhone 11，车子卖出去那天在@微博抽奖平台 开奖。特斯拉Model S 70D，2016年买的，老前脸版本，目前跑了44000公里，大红色，不带天窗，四驱双电机，带辅助驾驶硬件（软件未开通，开通需要另外交钱。）目前在深圳的气候下，充满电可以跑310公里左右。车险2月29日到期。登记证在手，没有按揭，过户方便。 外观:车身四周有多处刮痕，大部分是刘欣开的时候刮到的，右后轮有一处新伤是我昨天拍照移车位的时候刮到的。整体站比较远看的话不显旧，依然很酷。内饰没问题。 历史车况：1，2018年10月5日，刘欣停车刮到停车柱，车门做了钣金和补漆，顺便换了一个刮花的轮毂，出险报了几千块，在特斯拉官方售后店做的，现已修复。2，2018年9月26日，在特斯拉官方售后换了一个叫“线束”的配件，好像是底盘电池组的连接线，之前车子借给同事开去东莞钢化膜工厂，回来的时候下大雨，路过积水区后车机系统报了检修故障，说是底盘的线束进水了，更换的材料费4000块，工时费2000，这次花了6000多。3，2019年8月7日爆胎，2000块一个，总的在特斯拉官方售后更换了两个原厂胎。 其它没遇到什么故障和暗病啦，我微博一直有分享使用情况，如果有遗漏的没说，大家提醒我，我马上更新到详情里。多说两句，这车子一直开得很好，自从买了这辆车后我的事业蒸蒸日上，逐渐走向人生巅峰，非常吉利。我大概看了一下卖车APP的卖价，这款配置的二手车普遍卖30几万，我的卖价就定个299999吧！另外很多人好奇电动车的保值率，我简单说一下，我是2016年4月份60万入手的，是网鱼网咖游戏比赛的冠军奖品，网络上还能查到这个新闻，一个女生领奖后转卖给我的，等于是一辆没开过的二手准新车，那时候这款车相同配置官方选配下来大概要75万才能到手。 深圳看车过户，随便看随便验，有什么其它想问的也可以直接咨询我们的淘宝店客服。不接受讲价哈。 趣评测/特斯拉Model S 70D 大红色不带天窗四驱双电机,"https://wx3.sinaimg.cn/large/6a4e0223gy1gasj4sqwg9j20yi22okjp.jpg,https://wx2.sinaimg.cn/large/6a4e0223gy1gasj4uy71fj20yi22okjp.jpg,https://wx1.sinaimg.cn/large/6a4e0223gy1gasj4whq66j22eo1cw1ky.jpg,https://wx1.sinaimg.cn/large/6a4e0223gy1gasj4xcumjj22eo1cw1ky.jpg,https://wx1.sinaimg.cn/large/6a4e0223gy1gasj4yd7zxj22eo1cwx6p.jpg,https://wx3.sinaimg.cn/large/6a4e0223gy1gasj4z1zgvj22eo1cwqv5.jpg,https://wx3.sinaimg.cn/large/6a4e0223gy1gasj4zukvmj22eo1cwx6p.jpg,https://wx4.sinaimg.cn/large/6a4e0223gy1gasj50m9bkj22eo1cw4qq.jpg,https://wx4.sinaimg.cn/large/6a4e0223gy1gasj5230ozj22eo1cwqv5.jpg,https://wx4.sinaimg.cn/large/6a4e0223gy1gasj5352hfj22eo1cw1ky.jpg,https://wx1.sinaimg.cn/large/6a4e0223gy1gasj555250j22eo1cwkjl.jpg,https://wx3.sinaimg.cn/large/6a4e0223gy1gasj55wha3j22eo1cw7wi.jpg,https://wx3.sinaimg.cn/large/6a4e0223gy1gasj56nus7j22eo1cwkjl.jpg,https://wx2.sinaimg.cn/large/6a4e0223gy1gasj4qnfgoj22eo1cwnpd.jpg,https://wx3.sinaimg.cn/large/6a4e0223gy1gasj57latbj23402c0kjl.jpg,https://wx4.sinaimg.cn/large/6a4e0223gy1gasj5acf48j20yi22okjn.jpg,https://wx3.sinaimg.cn/large/6a4e0223gy1gasj5c5ssoj20yi22onpi.jpg,https://wx3.sinaimg.cn/large/6a4e0223gy1gasj5ffv1hj20yi22ob2b.jpg",,,2020-01-11,,4016,5249,12415,,微博抽奖平台
4458178919975439,IopuXFR4b,#你最希望哪部剧出续集#庆余年 武汉·江汉路 ,,,武汉·江汉路,2020-01-07,贫困家庭iPhone 11 Pro Max,99299,7477,2792,你最希望哪部剧出续集,,True
4455154277319981,In8OvuIgd,转发微博,,,,2019-12-30,贫困家庭iPhone 11 Pro Max,12478,687,55,,,False,1906286443,钟文泽,4433423659252952,Ie1v7CP7a,又要抽手机了！这次奖品是 OPPO 高通双模 5G 手机。#5G套餐资费#今天公布了，11 月 1 日正式上线。OPPO 则会在 12 月全国首发高通双模 5G 手机。这是不是也暗示了...的发布时间转发微博+关注，12 月 31 日通过 @微博抽奖平台 抽一位同学送出 OPPO 5G 手机一台，让大家用 5G 手机跨新年。5G最前线的秒拍视频 抽奖详情,,"http://miaopai.video.weibocdn.com/001QldqBlx07ycTL1Ev601041200ah6m0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1581030205&ssig=yrCNwXFuwB&KID=unistore,video",,2019-10-31,微博 weibo.com,1602,1961,7277,5G套餐资费,微博抽奖平台
4454265517182191,ImLH1u8pN,转发微博,,,,2019-12-28,贫困家庭iPhone 11 Pro Max,15363,785,517,,,False,3063021825,小雨闲谈精神,4454231186218339,ImKNEq5FN,发布了头条文章：《地狱空荡，恶魔人间！杨文医生的同事讲出了其被杀的全过程。》  地狱空荡，恶魔人间！杨文医生的同事讲出了其被杀的全过程。 ,,,,2019-12-27,微博 weibo.com,12813,1267,12461,,
4453296821857576,ImmuC7NeU,转发微博,,,,2019-12-25,贫困家庭iPhone 11 Pro Max,2420,182,288,,,False,2789080255,魔术师R,4453153921684241,ImiM8749b,卧槽，今天让我发现一个巨牛批的截屏应用，注意：【这是 iPhone 手机真正意义上的第一款滚动截屏 App】（如果我没记错的话）！！滚动长图截屏！不是截好多张图拼接长图截屏！没有中间环节，滚多长截多长专门录制了一小段视频给大家演示这款应用的效果。几个特点：1.调用的屏幕录屏功能实现的滚动截图，所以任意界面都可以使用，真正意义的滚动，滚多少截多少2.可以直接从控制中心启动，像插件一样纯洁3.不建议使用“小白点”，会影响截图效果4.目前还在内测，名字是【ScrollingScreenshot】，不过还没上架，app store中搜索不到那么怎么安装呢？安装方法：1.首先在 App store 中搜索「TestFlight」，安装这个用于安装内测软件的应用。2.这个应用安装好以后，打开后面给你的这个内测链接：网页链接 ，会自动跳转到 TestFlight 中，并显示可以安装「ScrollingScreenshot」。3.点击安装就行了。【更新下载方法】：目前应用正式版已经上架商店，可以直接用 Safari 打开链接跳转安装，基本使用方法和内测版类似：网页链接更新：软件作者官博@ScrollingScreenshot 安装好以后按照我视频中的操作，就可以愉快的长截图了，Ummmm不容易啊！iPhone 终于可以曲线救国，滚动长截图了 魔术师R的微博视频,,"http://f.video.weibocdn.com/002NDpqwlx07zChUm1WU01041200iWCe0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1581030227&ssig=IK4ondoIpj&KID=unistore,video",,2019-12-24,手机平板 · 视频社区,9275,2488,9475,,ScrollingScreenshot
4452442991669583,Im0ht70kL,转发微博,,,,2019-12-22,贫困家庭iPhone 11 Pro Max,1814,223,29,,,False,2194738364,贾伯斯龙,4452433495163951,Im029lFnx,趁着现在小米电视大战智慧屏，大家对电视机的音质、画质关注度难得的高，多说几句这两家的电视。我自己是一个坚定不移的 OLED 电视脑残粉，但成本在那摆着，OLED 电视的价格现在还是太高了，55 英寸的索尼、LG 入门款也要八九千，65 英寸就一万三左右起步了，77 英寸都可以在北上深买一平米了，所以在给别人推荐电视时，我通常不会提 OLED。多数时候，只要不是说对画质、音质有什么特别的要求，我会直接推荐买小米电视。2000 买个 55，3000 不到买个 65，价格比那些清库存的东西贵点，但品牌售后后续支持都靠谱，PatchWall 是我认为目前国内市场下最好用的电视系统（前提是对广告没啥「洁癖」），界面、语音助手、资源整合都很完善，长辈也很容易上手。要说问题的话，小米电视过去几年在国内和印度市场过得太舒服，找不到什么能打的对手，这就导致了产品定义偏保守，都这个体量了，MEMC 还是长期都不给。好消息是，华为决定也来掺合一下这个市场，小米电视的研发不能这么安逸了，小米电视 5 Pro 是一个信号，量子点和 MEMC 都有了，希望接下来能在产品上看到更多惊喜。智慧屏（华为+荣耀）那边，目前产品上主要切入的方向是芯片、外放加上一堆听起来很牛逼实际打开率很低的功能，鸿鹄 818 的性能在电视机 SoC 里是稳稳的旗舰水准，但目前操作系统打磨得还不太完善，基于 SoC 的画质调教也不算顶级。外放上，华为和荣耀的智慧屏都很舍得堆料，虽说 6*10W 这个非常鸡贼，但智慧屏的音质在这个价位的确是很棒的。可能会有人说「我就是想要个好看的屏幕然后自己再配个 sound bar，你这个内置音箱就是徒增功耗有失公允」，但电视机的受众群体是非常「大众」的，直接集成好音箱这个方向我个人还是比较支持的，前阵子一加发的电视也是主打音质（那个升降设计太牛逼了），LG、索尼、三星最近几代的旗舰电视也在不断提升音质，LG E9 的音质已经能干掉一大票的千元 sound bar 了。其实小米在几年前的产品上也曾经把重点放在音质上，我记得小米电视 3 还是 3s 出过一个带外置低音炮和 sound bar 的家庭影院版，但当时销量一般。有意思的是，小米电视是从 4A 等低价电视发布后才开始打遍国内无敌手的，所以你也不能太怪小米电视没追求，有追求的时候你们又不买账...总结一下，小米电视是一个高性价比、稳妥不出错的选择（限于比较便宜的产品，5 Pro 我没仔细研究过，暂时不做判断），荣耀的智慧屏 55 英寸已经降到了 2999（4 单元，没摄像头）和 3999（6 单元，有摄像头和分区），是一个音质更好、配置稍高的选择。不过这里有个问题，4000 元这个价位已经可以买到索尼、三星的入门款，比如索尼 8500G 系列、三星 Q6/Q60，再加几百块能买 Q70，画质比这两家互联网品牌的产品明显好一截，这可能也是智慧屏上市后销量没那么理想的原因之一。选择 4000 元的 55 英寸电视时，只要你不是对音质有啥特别的要求，我个人也更推荐三星索尼的产品一些。暂时扯这么多，其它的以后再说。,"https://wx2.sinaimg.cn/large/82d10cbcgy1ga5w18i1k5j20u01uokce.jpg,https://wx3.sinaimg.cn/large/82d10cbcgy1ga5w19k32ej20u01uohau.jpg",,,2019-12-22,Android,993,90,246,,
4450948245649394,IlnoAnHFg,转发微博,,,,2019-12-18,贫困家庭iPhone 11 Pro Max,8810,795,83,,,False,1747790171,疯一样得胖子,4450548050590069,IlcZ72tvf,在吗？我这有100箱车厘子转关我和@凉白开开kk ，21号由@微博抽奖平台 抽50人，每人送出车厘子1箱(2kg)点赞和关注我俩，21号@微博抽奖平台 抽50人，每人送出车厘子一箱（2kg) ,https://wx3.sinaimg.cn/large/a66d0169ly1g9zq5kgkk4j20u00x4h4f.jpg,,,2019-12-17,微博  weibo.com,35786,15972,27408,,"凉白开开kk,微博抽奖平台,微博抽奖平台"
4448710572253747,Ikrbr9siL,转发微博,,,,2019-12-12,贫困家庭iPhone 11 Pro Max,1769,140,61,,,False,3905559211,毕导THU,4445895594598677,IjfX9jikd,【转发抽奖】最近大家都很冷吧，那我发一个我去温暖的三亚度假的vlog吧这次体验的是三亚嘉佩乐酒店，也是我人生第一次出去旅游竟然在酒店里待了三天压根不想出去。嘉佩乐在三亚海边，非常有设计感，最贵的房间要11万一晚！不管是房间还是吃的玩的，我都极其极其喜欢，这个假度得实在太爽了。具体有多享受你就看视频吧！转发本微博+@ 一位好友+关注@毕导THU ，抽三个同学送300元+我亲手调的导毕鸡尾酒  毕导THU的微博视频 抽奖详情,,"http://f.video.weibocdn.com/003mRK1dlx07z6ldd2Ws01041201NsLw0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1581030256&ssig=th%2BtodAwcQ&KID=unistore,video",,2019-12-04,旅行 · 视频社区,1401,408,456,,毕导THU
